"nome","modelo","fabricante","cor","tam"
"Tênis Esportivo","Running X","Nike","preto,branco,azul","42,43,44,45,46"
"Sapato Social","Elegant","Ferracini","marrom,preto,cinza","40,41,42,43"
"Sapatilha","Ballet","Pampili","rosa,branco,prata","36,37,38,39"
"Sandália","Summer Breeze","Havaianas","azul,verde,amarelo,branco","38,39,40,41,42"
"Bota","Adventure","Timberland","marrom,preto,verde","43,44,45,46,47"
"Chinelo","Beach","Havaianas","amarelo,laranja,azul,verde","39,40,41,42,43"
"Tênis Casual","Street","Adidas","branco,preto,cinza,vermelho","41,42,43,44,45"
"Mocassim","Comfort","Moleca","preto,marrom,cinza,roxo","37,38,39,40,41"
"Tênis Esportivo","Active","Asics","vermelho,branco,azul,prata","44,45,46,47,48"
"Sapato Social","Classic","Vizzano","preto,marrom,cinza,dourado","40,41,42,43,44,45"
"Sandália Rasteira","Soft","Via Uno","preto,bege,azul,branco","35,36,37,38,39"
"Tênis Skate","Pro","Vans","preto,branco,cinza","40,41,42,43,44"
"Bota Feminina","Fashion","Arezzo","marrom,preto,vermelho","36,37,38,39,40"
"Sapatênis","Urban","Lacoste","preto,branco,cinza,marrom","39,40,41,42,43"
"Chinelo Slide","Relax","Rider","preto,branco,azul,verde","38,39,40,41,42"
"Sapato de Salto","Elegance","Schutz","preto,vermelho,rosa","35,36,37,38,39"
"Tênis de Corrida","Speed","Mizuno","preto,branco,vermelho,azul","40,41,42,43,44"
"Sapatilha Infantil","Kids","Bibi","rosa,amarelo,azul","30,31,32,33,34"
"Sandália de Couro","Natural","Dakota","marrom,preto,bege","36,37,38,39,40"
"Tênis Casual","Everyday","Converse","preto,branco,azul,vermelho","38,39,40,41,42"

